Typ,count,percent
choral > rec > aria > rec > choral,1,0.07
coro > acc > coro > coro,1,0.07
choral > rec > aria > rec > coro > rec > aria > choral,1,0.07
choral > rec > aria > choral > aria > choral,1,0.07
coro > aria > choral > rec > arioso > aria > acc > choral,1,0.07
choral > aria > acc > aria > rec > aria > rec > aria > choral,1,0.07
acc > choral > aria > rec > aria > acc > choral,1,0.07
coro > rec > coro > acc > aria > rec > choral,1,0.07
coro > aria > rec > arioso > aria > rec > choral,1,0.07
coro > arioso > rec > aria > rec > acc > choral,1,0.07
coro > aria > coro > aria > acc > choral,1,0.07
coro > aria > rec > acc > arioso > rec > aria > choral,1,0.07
arioso > arioso > rec > arioso > arioso > rec > aria,1,0.07
acc > aria > rec > acc > aria > rec > choral,1,0.07
arioso > rec > aria > rec > aria > acc > choral,1,0.07
coro > aria > acc > arioso > coro > rit > choral,1,0.07
aria > rec > aria > rec > arioso,1,0.07
aria > arioso > arioso > rec > arioso,1,0.07
coro > arioso > rec > choral > aria > rec > aria > acc,1,0.07
choral > rec > coro > choral > rec > aria > choral,1,0.07
coro > aria > rec > coro > aria > rec > choral,1,0.07
acc > aria > arioso > coro > acc > coro,1,0.07
aria > aria > aria > aria,1,0.07
dictum > aria > rec > choral > acc > choral > rec > aria > coro,1,0.07
acc > rec > choral > rec > aria > rec > aria > choral,1,0.07
coro > acc > aria > rec > acc > aria > rec > choral,1,0.07
coro > ritornello > choral > rec > aria > rec > choral,1,0.07
coro > rec > coro > rec > aria > coro > choral,1,0.07
coro > rec > aria > rec > dictum > aria > rec > choral,1,0.07
aria > rec > aria > rec > arioso > aria > rec > choral,1,0.07
acc > coro > choral > rec > aria > rec > choral,1,0.07
coro > acc > choral > aria > rec > choral,1,0.07
coro > aria > acc > aria > rec > aria > coro,1,0.07
choral > aria > rec > arioso > rec > aria > choral,1,0.07
aria > rec > aria > rec > arioso > aria,1,0.07
acc > rec > acc > aria > rec > choral > aria > rec > choral,1,0.07
acc > arioso > rec > coro > aria > arioso > acc > choral > aria > acc > choral,1,0.07
acc > arioso > aria > rec > aria > acc > choral,1,0.07
aria > acc > aria > coro,1,0.07
aria > rec > aria > rec > aria > rec > aria > rec > arioso,1,0.07
coro > coro,1,0.07
coro > rec > aria > rec > aria > rec > coro,1,0.07
acc > aria > rec > choral > rec > aria > coro,1,0.07
acc > aria > rec > aria > choral > aria > rec > choral,1,0.07
arioso > aria > rec > aria > rec > choral > aria > choral,1,0.07
coro > rec > coro > acc > choral > rec > aria > rec > choral,1,0.07
aria > rec > choral > rec > aria > rec > coro,1,0.07
coro > arioso > rec > coro > aria > rec > acc > coro,1,0.07
coro > aria > rec > choral > rec > choral > rec > aria > coro,1,0.07
aria > rec > arioso > rec > arioso > rec > arioso > arioso > rec > aria,1,0.07
dictum > aria > rec > choral > rec > aria > choral,1,0.07
dictum > rec > aria > rec > acc > aria > rec > choral,1,0.07
aria > arioso > aria > acc > choral,1,0.07
dictum > arioso > rec > arioso > rec > arioso > rec > arioso > rec > aria,1,0.07
coro > acc > choral > aria > aria > acc > choral,1,0.07
coro > rec > aria > rec > choral > rec > aria > choral,1,0.07
dictum > acc > aria > acc > aria > acc > choral,1,0.07
coro > rec > choral > aria > rec > aria,1,0.07
dictum > rec > aria > aria > rec > choral,1,0.07
coro > choral > coro,1,0.07
coro > aria > acc > acc > acc > aria > rec > coro,1,0.07
coro > acc > aria > acc > choral > rec > choral > rec > aria > coro,1,0.07
coro > coro > rec > choral > rec > aria > choral,1,0.07
coro > rec > aria > choral > acc > aria > choral,1,0.07
coro > rec > aria > choral > aria > acc > choral,1,0.07
coro > acc > aria > dictum > acc > aria > rec > choral,1,0.07
coro > rec > coro > aria > acc > aria > acc > choral,1,0.07
coro > acc > aria > choral > aria > acc > choral,1,0.07
coro > rec > aria > choral > rec > coro > rec > choral,1,0.07
dictum > aria > acc > aria > acc > aria,1,0.07
coro > rec > aria > acc > choral > aria > rec > choral,1,0.07
aria > rec > choral > rec > aria > acc > choral,1,0.07
dictum > rec > aria > acc > aria > rec > choral,1,0.07
acc > rec > arioso > rec > aria > choral,1,0.07
coro > aria > choral > coro,1,0.07
coro > aria > rec > arioso > rec > aria > choral,1,0.07
choral > acc > aria > acc > choral > rec > aria > rec > choral,1,0.07
coro > acc > coro > rec > arioso > aria > rec > coro,1,0.07
coro > acc > choral > acc > aria > acc > choral,1,0.07
coro > choral > rec > choral > aria > rec > aria > rec > choral,1,0.07
choral > acc > aria > acc > coro > aria > acc > choral,1,0.07
coro > acc > choral > aria > acc > choral,1,0.07
coro > rec > choral > aria > acc > choral,1,0.07
coro > aria > acc > aria > coro,1,0.07
choral > rec > aria > coro > rec > aria > choral,1,0.07
coro > coro > acc > coro > rec > aria > rec > aria > choral,1,0.07
coro > aria > rec > acc > choral > aria > rec > aria > coro,1,0.07
coro > aria > rec > aria > rec > acc > choral,1,0.07
coro > rec > coro > aria > choral > rec > acc > aria > rec > choral,1,0.07
coro > acc > aria > choral > rec > aria > rec > choral,1,0.07
coro > coro > rec > coro > rec > aria > choral,1,0.07
acc > coro > rec > choral > aria > rec > choral,1,0.07
coro > rec > aria > acc > choral > rec > choral > rec > aria > coro,1,0.07
aria > aria > arioso > aria > rec > aria,1,0.07
choral > aria > coro > aria > acc > choral,1,0.07
coro > acc > aria > aria > coro,1,0.07
aria > rec > arioso > acc > rec > aria,1,0.07
aria > rec > aria > choral,1,0.07
aria > rec > choral > rec > coro > rec > coro,1,0.07
choral > aria > coro > aria > rec > choral,1,0.07
dictum > aria > rec > acc > aria > rec > choral,1,0.07
acc > aria > acc > choral > rec > aria > coro,1,0.07
coro > rec > aria > dictum > rec > aria > choral,1,0.07
aria > aria > aria > acc > choral,1,0.07
coro > rec > choral > aria > rec > aria > choral,1,0.07
choral > rec > arioso > aria > rec > aria > rec > choral,1,0.07
acc > aria > acc > choral > rec > aria > choral,1,0.07
coro > coro > rec > coro > rec > coro > rec > choral,1,0.07
choral > acc > choral > rec > choral > rec > ritornello > acc > choral > rec > coro,1,0.07
coro > aria > rec > acc > aria > rec > choral,1,0.07
aria > rec > aria > rec > coro,1,0.07
aria > rec > arioso > arioso > aria > rec > choral,1,0.07
coro > aria > rec > aria > acc > aria > rec > choral,1,0.07
arioso > aria > rec > aria > rec > choral,1,0.07
arioso > rec > aria > rec > aria,1,0.07
dictum > rec > aria > rec > choral > aria > rec > choral,1,0.07
dictum > rec > dictum > aria > rec > aria > rec > choral,1,0.07
coro > rec > aria > aria > rec > aria > choral,1,0.07
arioso > aria > rec > arioso > aria > aria,1,0.07
coro > rec > aria > rec > aria > rec > choral > coro,1,0.07
coro > rec > aria > rec > dictum > aria > choral,1,0.07
aria > acc > aria > rec > choral,1,0.07
choral > rec > acc > rec > coro > aria > rec > choral,1,0.07
aria > rec > aria > arioso > rec > aria,1,0.07
coro > rec > aria > choral > aria > rec > aria > rec > choral,1,0.07
aria > rec > choral > aria > choral,1,0.07
acc > rec > acc > aria > rec > aria > choral,1,0.07
aria > acc > aria > acc > aria > rec > aria,1,0.07
aria > arioso > acc > aria > acc > coro,1,0.07
dictum > aria > rec > aria > rec > coro,1,0.07
coro > rec > aria > rec > choral > rec > aria > coro,1,0.07
dictum > rec > aria > rec > choral > aria > rec > coro,1,0.07
coro > aria > arioso > aria > coro,1,0.07
coro > acc > aria > rec > aria > acc > aria > rec > choral,1,0.07
dictum > choral > rec > aria > rec > aria > choral,1,0.07
aria > rec > choral > rec > aria > choral,1,0.07
acc > rec > aria > choral > rec > coro > choral,1,0.07
coro > rec > aria > rec > choral > rec > aria > rec > coro,1,0.07
aria > rec > aria > rec > aria > rec > aria > acc > aria,1,0.07
dictum > rec > aria > acc > aria > rec > aria > choral,1,0.07
acc > aria > rec > acc > rec > aria > rec > choral,1,0.07
acc > rec > aria > rec > arioso > aria > rec > choral,1,0.07
choral > acc > aria > rec > aria > rec > aria,1,0.07
aria > rec > aria > rec > aria > arioso > aria > rec > aria,1,0.07
coro > aria > rec > aria > choral > aria > rec > choral,1,0.07
dictum > aria > rec > aria > rec > aria > acc > choral,1,0.07
coro > rec > aria > acc > choral > rec > aria > choral,1,0.07
acc > aria > rec > coro > aria > rec > choral,1,0.07
aria > rec > arioso > rec > aria,1,0.07
choral > aria > acc > aria > aria,1,0.07
arioso > aria > arioso > aria > arioso > choral > aria,1,0.07
coro > rec > aria > rec > aria > choral > rec > aria > coro,1,0.07
choral > acc > arioso > rec > arioso > rec > aria,1,0.07
aria > aria > acc > aria,1,0.07
acc > choral > aria > rec > aria > rec > choral,1,0.07
aria > rec > dictum > rec > aria > rec > choral,1,0.07
dictum > rec > aria > rec > aria > rec > coro,1,0.07
aria > rec > aria > acc > choral,1,0.07
coro > rec > coro > choral > aria > rec > coro > choral,1,0.07
coro > rec > aria > coro > rec > choral,1,0.07
acc > rec > aria > rec > choral > rec > aria > rec > coro,1,0.07
aria > rec > acc > aria > rec > aria,1,0.07
dictum > rec > aria > rec > aria > arioso > choral,1,0.07
aria > choral > rec > aria > rec > aria > choral,1,0.07
arioso > aria > rec > aria > choral > rec > aria,1,0.07
